asset_id	release_version	source_id	assembly_accession	asset_role	asset_kind	bundle_path	canonical_path	object_path	byte_size	sha256	mime_type	supports_range	redistribution_status	is_public
v0.2.0--assembly-GCF_000005845.1--fai	v0.2.0	BATTER_S1_001	GCF_000005845.1	reference_fai	fai	assets/BATTER_S1_001__NC_000913.2.fna.fai		assemblies/GCF_000005845.1/reference/reference.fna.fai	29	53ebdac3002ed0fa623528794d6673986433d8e14f5174abbf05012df6003461	text/plain	false	external_link_only	false
v0.2.0--assembly-GCF_000005845.1--fasta	v0.2.0	BATTER_S1_001	GCF_000005845.1	reference_fasta	fasta	assets/BATTER_S1_001__NC_000913.2.fna		assemblies/GCF_000005845.1/reference/reference.fna	4706030	2a8e2f78bc145fa82fa325acf7d34dc944612795cee74f793045dc64d782176c	text/plain	false	external_link_only	false
v0.2.0--assembly-GCF_000005845.1--gff3	v0.2.0	BATTER_S1_001	GCF_000005845.1	reference_gff3	gff3	assets/BATTER_S1_001__NC_000913.2.genes.gff3.gz		assemblies/GCF_000005845.1/reference/genes.gff3.gz	75534	fc7208df0fbce0bc39d71a1d2925ffef51e23f1594a00ac076e7eebb7e2454af	application/gzip	false	external_link_only	false
v0.2.0--assembly-GCF_000005845.1--tbi	v0.2.0	BATTER_S1_001	GCF_000005845.1	reference_tbi	tbi	assets/BATTER_S1_001__NC_000913.2.genes.gff3.gz.tbi		assemblies/GCF_000005845.1/reference/genes.gff3.gz.tbi	962	101a1e25615012819622921977625f1c87a8be12dd62f69ab9567de53d525344	application/octet-stream	false	external_link_only	false
v0.2.0--assembly-GCF_000006765.1--fai	v0.2.0	BATTER_S1_008	GCF_000006765.1	reference_fai	fai	assets/BATTER_S1_008__thomason2019_pao1.reference.fna.fai		assemblies/GCF_000006765.1/reference/reference.fna.fai	29	e57c0ee7bb140ffd6c6559bc380984ec0b52227646553cc9aa93fd26081691f2	text/plain	false	verified_redistributable	true
v0.2.0--assembly-GCF_000006765.1--fasta	v0.2.0	BATTER_S1_008	GCF_000006765.1	reference_fasta	fasta	assets/BATTER_S1_008__thomason2019_pao1.reference.fna		assemblies/GCF_000006765.1/reference/reference.fna	6368851	a91b487d476a6ce69554b7646b6390bd5d49254593a7b71d3b2dcf1f38889fa3	text/plain	false	verified_redistributable	true
v0.2.0--assembly-GCF_000006765.1--gff3	v0.2.0	BATTER_S1_008	GCF_000006765.1	reference_gff3	gff3	assets/BATTER_S1_008__thomason2019_pao1.genes.gff3.gz		assemblies/GCF_000006765.1/reference/genes.gff3.gz	121050	ef01225a573a44ebfdfd41b692884693fa5d659942a5143f79310f49561c566f	application/gzip	false	verified_redistributable	true
v0.2.0--assembly-GCF_000006765.1--tbi	v0.2.0	BATTER_S1_008	GCF_000006765.1	reference_tbi	tbi	assets/BATTER_S1_008__thomason2019_pao1.genes.gff3.gz.tbi		assemblies/GCF_000006765.1/reference/genes.gff3.gz.tbi	1238	3a67415926e41ddb643c61c03b55d76199bdfd69fddf0a29ddc056be2f736ebd	application/octet-stream	false	verified_redistributable	true
v0.2.0--assembly-GCF_000006885.1--fai	v0.2.0	BATTER_S1_006	GCF_000006885.1	reference_fai	fai	assets/BATTER_S1_006__warrier2018_spne.reference.fna.fai		assemblies/GCF_000006885.1/reference/reference.fna.fai	29	3c52bccc36450dd5d464868b0ae124fc1e3b346ed35ce1134fcc9a5cafc010c2	text/plain	false	verified_redistributable	true
v0.2.0--assembly-GCF_000006885.1--fasta	v0.2.0	BATTER_S1_006	GCF_000006885.1	reference_fasta	fasta	assets/BATTER_S1_006__warrier2018_spne.reference.fna		assemblies/GCF_000006885.1/reference/reference.fna	2196897	c82b4a4c1b70cfcf60810db9fd08629db8f1f4118cffa342868c4ff95aadf16f	text/plain	false	verified_redistributable	true
