end_id	source_id	sample_id	assay	evidence_class	author_endpoint_id	published_reference_accession	reference_assembly	reference_name	replicon_label	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	signal_or_score	author_category	associated_gene_or_locus	pmid	doi	source_table_or_file	coordinate_interpretation	original_row_reference	qc_status	note
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000001	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_1	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	1839	1838	1839	+	1000	TERMITe intrinsic terminator	BSU_00010	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_1)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.013, rnafold_energy=-19.299999237060547; upstream_gene=gene:BSU_00010 - 86bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000002	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_2	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	3112	3111	3112	+	1000	TERMITe intrinsic terminator	BSU_00020	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_2)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.002, rnafold_energy=-13.600000381469728; upstream_gene=gene:BSU_00020 - 35bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000003	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_3	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	6826	6825	6826	+	1000	TERMITe intrinsic terminator	BSU_00060	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_3)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-11.899999618530272; upstream_gene=gene:BSU_00060 - 41bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000004	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_4	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	9494	9493	9494	+	1000	TERMITe intrinsic terminator	BSU_00070	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_4)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=-, transtermhp_confidence=100.0, IDR=0.003, rnafold_energy=NA; upstream_gene=gene:BSU_00070 - 33bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000005	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_10	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	17434	17433	17434	+	1000	TERMITe intrinsic terminator	BSU_00090	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_10)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-12.800000190734863; upstream_gene=gene:BSU_00090 - 51bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000006	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_11	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	18907	18906	18907	+	1000	TERMITe intrinsic terminator	BSU_00100	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_11)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=-, rnafold=+, transtermhp_confidence=NA, IDR=0.001, rnafold_energy=-12.0; upstream_gene=gene:BSU_00100 - 40bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000007	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_13	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	22196	22195	22196	+	1000	TERMITe intrinsic terminator	BSU_00130	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_13)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=93.0, IDR=0.0, rnafold_energy=-15.100000381469728; upstream_gene=gene:BSU_00130 - 38bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_minus_000008	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_reverse_1	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	22470	22469	22470	-	1000	TERMITe intrinsic terminator	BSU_00140	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_reverse_1)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=-, transtermhp_confidence=100.0, IDR=0.045, rnafold_energy=NA; upstream_gene=gene:BSU_00140 - 24bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000009	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_28	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	37815	37814	37815	+	0	TERMITe intrinsic terminator	BSU_00260	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_28)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=83.0, IDR=0.383, rnafold_energy=-6.199999809265137; upstream_gene=gene:BSU_00260 - 174bp
BTED_EXT_2026_106_SRR17335818-829_NC_000964.3_plus_000010	BTED_EXT_2026_106	SRR17335818-829	Term-seq	NA	WT_3prime_signal_forward_29	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3	chromosome	42895	42894	42895	+	1000	TERMITe intrinsic terminator	BSU_00330	35311531	10.1128/mbio.00400-22	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, termite_id=WT_3prime_signal_forward_29)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=87.0, IDR=0.0, rnafold_energy=-12.800000190734863; upstream_gene=gene:BSU_00330 - 35bp
