end_id	source_id	sample_id	assay	evidence_class	author_endpoint_id	published_reference_accession	reference_assembly	reference_name	replicon_label	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	signal_or_score	author_category	associated_gene_or_locus	pmid	doi	source_table_or_file	coordinate_interpretation	original_row_reference	qc_status	note
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000001	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	1457	1456	1457	+	NA	3UTR	CDIF630_00001	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 2)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/dnaA (1-1320, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000002	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	2730	2729	2730	+	NA	3UTR	CDIF630_00002	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 3)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/dnaN (1562-2668, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000003	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	8516	8515	8516	+	NA	3UTR	CDIF630_00006	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 4)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/gyrA (6066-8492, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000004	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	10749	10748	10749	+	NA	3UTR	CDIF630_00011	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 5)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/CDIF630_RS00055 (9857-10630, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000005	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	12344	12343	12344	+	NA	3UTR	CDIF630_00012	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 6)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/CDIF630_RS00060 (10814-12316, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000006	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	15499	15498	15499	+	NA	3UTR	CDIF630_00013	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 7)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/CDIF630_RS00065 (12602-15499, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000007	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	15818	15817	15818	+	NA	3UTR	CDIF630_00014	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 8)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/rrf (15701-15817, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000008	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	15912	15911	15912	+	NA	3UTR	CDIF630_00015	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 9)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/CDIF630_RS00075 (15823-15911, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000009	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	17743	17742	17743	+	NA	3UTR	CDIF630_00018	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 10)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/CDIF630_RS00090 (17667-17742, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
BTED_EXT_2026_101_GSM4696498_CP010905.2_plus_000010	BTED_EXT_2026_101	GSM4696498;GSM4696499;GSM4696500	RNAtag-seq (TTS)	author_called_endpoint	NA	CP010905.2	GCF_000932055.2	CP010905.2	chromosome	21015	21014	21015	+	NA	3UTR	CDIF630_00019	34131082	10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet)	作者 TTS 坐标为 1-based (dnaA Start=1); biological_coordinate_1based=TTS; bed_start_0based=TTS-1; bed_end_0based=TTS (单碱基 BED)	pnas.2103579118.sd04.xlsx (Dataset S4, TTSs sheet row 11)	pass	链向: confidence=高, gff_matched=是; locus tag直接命中 GFF gene/CDIF630_RS00095 (18118-21015, +链); Location TTS=3UTR; signal_or_score 填 NA: Dataset S4 folding sheet 提供的是折叠能量(kcal/mol)而非峰信号值, 且仅覆盖 2011/2042 个 TTS 完整GSM列表=GSM4696498;GSM4696499;GSM4696500(end_id取首个代表性GSM)
