OTU id	GC content	Rho scores	Rho homolog	length of U-rich sequence	Completeness	Contamination	Taxonomy					
OTU-39820	58.799049999999994	3.29828587196469	1	4	100	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__					
OTU-31735	60.4451	3.31143020134229	1	5	99.79	0.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__					
OTU-29549	56.86318	3.42984714400645	1	4	99.95	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__					
OTU-8985	60.4960899999999	3.24404476479516	1	4	100	0.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium capsulatum					
OTU-25810	56.4921	3.26069302949062	1	5	100	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium_A;s__Acidobacterium_A ailaaui					
OTU-19744	61.98702	3.39830327004219	1	4	99.57	0.86	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Bryocella;s__Bryocella elongata					
OTU-36297	57.24632	3.02692485549134	1	5	100	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__					
OTU-33725	56.176969999999905	3.29960204778158	1	5	100	0.05	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__					
OTU-36299	57.09353	3.40570822102427	1	4	100	4.31	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__					
OTU-39789	58.4266699999999	3.21287237569061	1	4	100	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__Edaphobacter aggregans					
OTU-36550	58.82393999999999	3.48768339307049	1	4	99.14	4.48	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__Edaphobacter sp000421065					
OTU-37712	56.74064	3.25180421422302	1	5	100	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__Edaphobacter sp000688615					
OTU-26933	59.805220000000006	3.34094614809276	1	4	100	0.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__					
OTU-36701	61.27599	3.38405728518057	1	4	100	0.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella pectinivorans					
OTU-25792	62.89546	3.54238963963964	1	4	100	1.71	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella rosea					
