locus_tag	tts_position	gff_matched	confidence	note
CP010905.2:179442..179545	179606	否	无法确定	坐标处无唯一GFF特征, 需人工核查
CDIF630nc_004	286028	否	无法确定	locus tag(CDIF630nc_004)未命中且坐标(285785-285973)处无唯一GFF特征, 需人工核查
CDIF630nc_010	512663	否	无法确定	locus tag(CDIF630nc_010)未命中且坐标(512663-512787)处无唯一GFF特征, 需人工核查
CDIF630nc_012	565538	否	无法确定	locus tag(CDIF630nc_012)未命中且坐标(565538-565635)处无唯一GFF特征, 需人工核查
CP010905.2:584137..584243	584272	否	无法确定	坐标处无唯一GFF特征, 需人工核查
CDIF630nc_013	597490	否	无法确定	locus tag(CDIF630nc_013)未命中且坐标(597392-597491)处无唯一GFF特征, 需人工核查
CDIF630_00722	716730	否	无法确定	locus tag(CDIF630_00722)未命中且坐标(716924-718261)处无唯一GFF特征, 需人工核查
CDIF630_00722	716639	否	无法确定	locus tag(CDIF630_00722)未命中且坐标(716924-718261)处无唯一GFF特征, 需人工核查
CDIF630_00755	750079	否	无法确定	locus tag(CDIF630_00755)未命中且坐标(749652-749768)处无唯一GFF特征, 需人工核查
CDIF630nc_034	1126403	否	无法确定	locus tag(CDIF630nc_034)未命中且坐标(1126319-1126403)处无唯一GFF特征, 需人工核查
CDIF630nc_035	1126919	否	无法确定	locus tag(CDIF630nc_035)未命中且坐标(1126918-1127063)处无唯一GFF特征, 需人工核查
CDIF630nc_056	1750365	否	无法确定	locus tag(CDIF630nc_056)未命中且坐标(1750238-1750313)处无唯一GFF特征, 需人工核查
CDIF630nc_058	1780373	否	无法确定	locus tag(CDIF630nc_058)未命中且坐标(1780121-1780374)处无唯一GFF特征, 需人工核查
CP010905.2:1903471..1903647	1903732	否	无法确定	坐标处无唯一GFF特征, 需人工核查
CDIF630nc_061	1915239	否	无法确定	locus tag(CDIF630nc_061)未命中且坐标(1914759-1915252)处无唯一GFF特征, 需人工核查
CDIF630nc_062	1922009	否	无法确定	locus tag(CDIF630nc_062)未命中且坐标(1922009-1922213)处无唯一GFF特征, 需人工核查
CP010905.2:1941047..1941090	1941159	否	无法确定	坐标处无唯一GFF特征, 需人工核查
CP010905.2:1957856..1957977	1957761	否	无法确定	坐标处无唯一GFF特征, 需人工核查
