OTU id	GC content	stem length	length of U-rich sequence	# of prediction / CDS	# of prediction / KB in IGR	gene length	loop length	gene number	genome size	igr length	# downstream	# threeprime	Taxonomy
OTU-10019	55.6940999999999	11	4	0.113	1.509	3000378	5	2875	3279977	279599	248	76	d__Bacteria;p__Acidobacteriota;c__UBA890;o__UBA890;f__UBA890;g__UBA890;s__UBA890 sp002722645
OTU-10073	51.71306	11	5	0.252	3.591	2609604	4	2810	2885036	275432	506	201	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__
OTU-10091	51.0179399999999	13	5	0.38	4.828	2833392	4	2668	3225656	392264	855	160	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173_A;s__UBA7173_A sp001915385
OTU-10099	53.9542099999999	18	5	0.546	6.386	1902861	6	2183	2186592	283731	897	296	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella_A;s__Kingella_A denitrificans
OTU-10233	47.77196	12	6	0.194	4.289	712149	5	780	764374	52225	106	45	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__
OTU-10263	44.8335	14	6	0.2	3.305	2196825	4	2282	2374728	177903	335	121	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__UBA2780;s__UBA2780 sp002352345
OTU-10327	46.1905	12	7	0.188	4.577	1510884	4	1512	1589758	78874	187	97	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__UBA10364;s__UBA10364 sp003455605
OTU-10346	59.9337999999999	15	5	0.48	5.393	1766937	5	1740	2008744	241807	669	167	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-10406	53.70664	13	5	0.198	2.857	3733869	5	4440	4149715	415846	642	235	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter sp001858325
OTU-10430	42.23532	13	6	0.232	2.15	4832295	5	5256	5653252	820957	910	312	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__Bog-950 sp003165895
OTU-10483	52.2453199999999	13	6	0.36	3.313	846147	5	952	1001609	155462	279	64	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__
OTU-10653	41.3516699999999	15	7	0.249	3.406	1622349	5	1632	1789105	166756	268	139	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__
OTU-10694	45.86479	14	7	0.224	4.557	2716800	5	2463	2884893	168093	333	219	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002353295
OTU-10808	37.6596	10	6	0.336	2.625	2832099	5	3120	3296945	464846	777	270	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Cyanobacterium;s__Cyanobacterium sp002813895
OTU-1082	54.54662	11	5	0.404	4.534	4669116	4	4859	5220112	550996	1350	614	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ludwigii_B
OTU-10850	51.51552	13	6	0.353	2.151	2441781	5	2834	3059517	617736	668	333	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Caldibacillaceae;g__Caldibacillus;s__Caldibacillus debilis
OTU-10892	51.7219999999999	13	5	0.205	2.598	3066075	5	3050	3399813	333738	470	156	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__Pseudohongiella;s__Pseudohongiella nitratireducens
OTU-10900	56.08721	14	6	0.244	3.32	3021129	5	3061	3309380	288251	519	227	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Gluconobacter;s__Gluconobacter frateurii
OTU-10990	64.1328	12	4	0.367	5.152	2743863	4	3033	3060227	316364	794	319	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae;g__UBA2239;s__UBA2239 sp002347615
OTU-11066	41.53011	14	7	0.331	3.463	2105598	5	2007	2393472	287874	493	171	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
OTU-11143	52.20215	13	5	0.301	3.106	2099688	5	2198	2443904	344216	518	143	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__DTU013;s__DTU013 sp002386045
OTU-11172	61.22665	13	5	0.324	3.859	2644554	4	2657	2994686	350132	611	250	d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__;s__
OTU-11188	60.92794	11	4	0.188	2.897	1893804	4	2440	2089511	195707	282	176	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002724845
OTU-11196	36.8302	13	9	0.37	3.86	1689159	4	1869	1912466	223307	497	194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA6094;g__UBA6094;s__UBA6094 sp002435915
OTU-112	55.79854	13	4	0.183	2.975	2689149	4	2428	2919402	230253	336	108	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__UBA10348;g__UBA10348;s__
OTU-1132	60.1495099999999	14	5	0.449	5.451	1828356	5	1818	2075639	247283	651	166	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-11324	46.39019	12	6	0.243	3.05	3717480	5	3857	4156467	438987	700	237	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__;s__
OTU-11334	49.83656	12	5	0.107	2.459	1535457	5	1611	1629412	93955	122	51	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747;s__
OTU-11347	48.38322	13	7	0.254	4.564	437394	5	519	481213	43819	108	24	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__
OTU-11383	54.3160099999999	13	5	0.144	2.602	3278565	4	3111	3518802	240237	355	92	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__UBA6894;s__
OTU-11444	44.80825	12	7	0.194	1.982	2870202	5	2853	3269755	399553	403	150	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp002448445
OTU-11506	35.1785399999999	13	8	0.339	2.732	3937791	5	4371	4368209	430418	572	911	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absiella;s__
