source_id	asset_scope	license	redistribution_status	is_public	license_source	note
BATTER_S1_001	reference	NCBI data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/genbank/	Reference FASTA and GFF3 are distributed from NCBI-derived records; the article access status does not govern these files.
BATTER_S1_001	experimental_signal	NCBI GEO data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	Public GEO experimental signal may be served with accession and submitter provenance retained.
BATTER_S1_001	bted_standardized_output	CC BY 4.0 source dataset; BTED standardization	verified_redistributable	true	https://doi.org/10.17632/ncm3s3pk2t.1	BTED core TSV, BED and metadata retain the paper, accession and coordinate provenance; author-specific supplementary fields remain excluded.
BATTER_S1_003	reference	NCBI data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/genbank/	Reference FASTA and GFF3 are distributed from NCBI-derived records; the article access status does not govern these files.
BATTER_S1_003	experimental_signal	NCBI GEO data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	Public GEO experimental signal may be served with accession and submitter provenance retained.
BATTER_S1_003	bted_standardized_output	CC BY 4.0 source dataset; BTED standardization	verified_redistributable	true	https://doi.org/10.17632/ncm3s3pk2t.1	BTED core TSV, BED and metadata retain the paper, accession and coordinate provenance; author-specific supplementary fields remain excluded.
BATTER_S1_004	reference	NCBI data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/genbank/	Reference FASTA and GFF3 are distributed from NCBI-derived records; the article access status does not govern these files.
BATTER_S1_004	experimental_signal	NCBI GEO data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	Public GEO experimental signal may be served with accession and submitter provenance retained.
BATTER_S1_004	bted_standardized_output	CC BY 4.0 source dataset; BTED standardization	verified_redistributable	true	https://doi.org/10.17632/ncm3s3pk2t.1	BTED core TSV, BED and metadata retain the paper, accession and coordinate provenance; author-specific supplementary fields remain excluded.
BATTER_S1_005	reference	NCBI data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/genbank/	Reference FASTA and GFF3 are distributed from NCBI-derived records; the article access status does not govern these files.
BATTER_S1_005	experimental_signal	NCBI GEO data-use policy	verified_redistributable	true	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	Public GEO experimental signal may be served with accession and submitter provenance retained.
BATTER_S1_005	bted_standardized_output	CC BY 4.0 source dataset; BTED standardization	verified_redistributable	true	https://doi.org/10.17632/ncm3s3pk2t.1	BTED core TSV, BED and metadata retain the paper, accession and coordinate provenance; author-specific supplementary fields remain excluded.
