end_id	source_id	sample_id	assay	evidence_class	author_endpoint_id	published_reference_accession	reference_assembly	reference_name	replicon_label	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	signal_or_score	author_category	associated_gene_or_locus	pmid	doi	source_table_or_file	coordinate_interpretation	original_row_reference	qc_status	note
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000001	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_2	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	309	308	309	+	0	TERMITe intrinsic terminator	b0001	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_2)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.335, rnafold_energy=-15.699999809265137; upstream_gene=gene:b0001 - 51bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000002	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_3	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	5076	5075	5076	+	0	TERMITe intrinsic terminator	b0004	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_3)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.175, rnafold_energy=-17.200000762939453; upstream_gene=gene:b0004 - 54bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000003	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_4	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	9230	9229	9230	+	1000	TERMITe intrinsic terminator	b0008	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_4)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=-, rnafold=+, transtermhp_confidence=NA, IDR=0.0, rnafold_energy=-17.399999618530273; upstream_gene=gene:b0008 - 37bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000004	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_6	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	14145	14144	14145	+	1000	TERMITe intrinsic terminator	b0014	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_6)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-24.600000381469727; upstream_gene=gene:b0014 - 63bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000005	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_8	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	18697	18696	18697	+	1000	TERMITe intrinsic terminator	b0019	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_8)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.029, rnafold_energy=-13.899999618530272; upstream_gene=gene:b0019 - 39bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_minus_000006	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_reverse_1	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	20762	20761	20762	-	1000	TERMITe intrinsic terminator	b0023	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_reverse_1)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-9.100000381469728; upstream_gene=gene:b0023 - 51bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000007	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_10	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	27282	27281	27282	+	1000	TERMITe intrinsic terminator	b0029	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_10)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.002, rnafold_energy=-10.800000190734863; upstream_gene=gene:b0029 - 54bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000008	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_11	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	29276	29275	29276	+	1000	TERMITe intrinsic terminator	b0031	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_11)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=-, rnafold=+, transtermhp_confidence=NA, IDR=0.021, rnafold_energy=-10.5; upstream_gene=gene:b0031 - 79bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_plus_000009	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_forward_12	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	34117	34116	34117	+	1000	TERMITe intrinsic terminator	b0033	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_forward_12)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.003, rnafold_energy=-11.699999809265137; upstream_gene=gene:b0033 - 78bp
BTED_EXT_2026_113_SRR22439140-142_NC_000913.3_minus_000010	BTED_EXT_2026_113	SRR22439140-142	Term-seq	NA	WT_3prime_signal_reverse_4	NC_000913.3	GCF_000005845.1 (ASM584v1)	NC_000913.3	chromosome	53259	53258	53259	-	0	TERMITe intrinsic terminator	b0053	40586304	10.1093/nar/gkaf553	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Escherichia_coli_a, termite_id=WT_3prime_signal_reverse_4)	pass	端点坐标验证状态: 已通过summit==POT一致性、BED偏移换算、U-tract序列比对、T-run富集统计四项独立验证 (详见 draft/termite_coord_validation.md); author_category=TERMITe intrinsic terminator; transtermhp=-, rnafold=+, transtermhp_confidence=NA, IDR=0.627, rnafold_energy=-10.399999618530272; upstream_gene=gene:b0053 - 156bp
