otu_id	genome_id	type	study	taxonomy	rho homologs	phylum	completeness	contamination	rho scores	CDS counts	stem length	loop length	U count	number	genome size
OTU-3	3300027510_45	MAG	GEM	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Ruminiclostridiaceae_A;g__DTU059;s__	3300027510.a:Ga0209537_1000312_16	Firmicutes_A	94.58	2.1	2.2433062730627307	1835	12.5	5.0	6.0	552.0	1994918
OTU-4	3300027510_44	MAG	GEM	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__;f__;g__;s__	3300027510.a:Ga0209537_1005166_10	Firmicutes_G	91.18	3.92	2.9958816705336404	2081	13.0	5.0	5.0	445.0	2010952
OTU-5	3300025481_3	MAG	GEM	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	3300025481.a:Ga0208079_1001243_3	Acidobacteriota	89.82	0.0	3.608124161073826	5758	12.0	4.0	3.0	1654.0	6003196
OTU-6	3300027510_42	MAG	GEM	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA2557;s__UBA2557 sp900019985	3300027510.a:Ga0209537_1000464_19	Firmicutes_G	91.18	0.49	2.023147157190635	1909	12.0	5.0	5.0	306.0	2056669
OTU-8	GCA_001513125.1	MAG	NCBI-MAG	d__Bacteria;p__DTU030;c__DTU030;o__DTU030;f__DTU030;g__DTU030;s__DTU030 sp001513125	LFSN01000067.1_17	DTU030	94.89	0.42	2.3455646687697156	1868	13.0	5.0	6.0	660.0	1811268
OTU-10	CM_cf__CF_TNFC039SA_t1M16__bin.7	MAG	Pasolli et al.	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__	NODE_203_length_29617_cov_7.06136_9	Actinobacteriota	95.2145	0.947867	3.676524709302336	1996	18.0	4.0	4.0	741.0	2133693
OTU-11	3300027510_48	MAG	GEM	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1426;s__UBA1426 sp002385825	.	Firmicutes_A	88.48	1.68	1.7723894967177252	1878	14.0	5.0	6.0	486.0	1935042
OTU-18030	GCF_001815355.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D sp001815355	NZ_KV820375.1_198	Proteobacteria	99.89	0.08	1.8166590084643295	1834	13.0	4.0	8.0	832.0	1904337
OTU-18031	GCF_900177245.1	isolate	NCBI-RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter;s__Rathayibacter oskolensis	NZ_FXBM01000001.1_1008	Actinobacteriota	99.41	1.52	4.26712338104976	3680	15.0	4.0	0.0	1467.0	3946460
OTU-18032	GCF_900177655.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__Devosia lucknowensis	NZ_FXWK01000002.1_758	Proteobacteria	98.7	0.0	3.915806978470686	3609	12.0	4.0	4.0	1347.0	3719665
OTU-27002	2513237108	isolate	IMG	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces griseus	YW3DRAFT_scaffold_0.1_418,YW3DRAFT_scaffold_6.7_64	Actinobacteriota	99.84	0.0	4.181979941002873	7372	16.0	4.0	0.0	3398.0	8648704
OTU-43406	GCA_003164045.1	MAG	NCBI-MAG	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Bog-1524;s__Bog-1524 sp003164045	PLRU01000053.1_46	Eremiobacterota	94.88	2.88	3.6216941176470705	5028	12.0	5.0	3.0	773.0	4994123
OTU-18034	GCF_900176625.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis	NZ_LT838837.1_175	Firmicutes_A	97.55	0.0	0.8419642147117298	1891	13.0	5.0	8.0	505.0	1873678
OTU-18035	2634166656	SAG	IMG	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__LPB0138;s__	.	Bacteroidota	71.58	0.17	1.126081339712919	1639	13.0	4.0	8.0	420.0	1708927
OTU-35	GCF_002913905.1	isolate	NCBI-RefSeq	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	NZ_POZF01000104.1_47	Campylobacterota	98.95	0.0	1.2994956011730203	1964	11.0	5.0	6.0	368.0	1924830
OTU-18036	GCA_003501085.1	MAG	NCBI-MAG	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__NaphS2;g__;s__	.	Desulfobacterota	57.2	1.18	2.2190808080808075	2107	11.0	5.0	6.0	220.0	2138042
OTU-18029	XieH_2016__YSZC12003_35562__bin.43	MAG	Pasolli et al.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__	.	Firmicutes_A	84.0935	2.01342	2.2821156583629887	1936	16.0	4.0	6.0	593.0	1989038
OTU-277	3300026802_1	MAG	GEM	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__	3300026802.a:Ga0207511_100240_1	Acidobacteriota	90.54	2.99	3.3048574408901357	4581	12.0	4.0	4.0	1483.0	5448629
OTU-18038	SRS476205_105	MAG	Nayfach et al.	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__	.	Verrucomicrobiota	83.73	4.87	2.163793193717275	1936	13.0	5.0	7.0	431.0	1804941
OTU-297	3300028580_9	MAG	GEM	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__	3300028580.a:Ga0268357_100232_17	Proteobacteria	97.92	1.22	2.9876618962432966	4389	12.0	4.0	5.0	1695.0	4669554
OTU-18040	GCF_002027145.1	isolate	NCBI-RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__Microbispora;s__Microbispora sp002027145	NZ_MWJN01000056.1_44	Actinobacteriota	97.1	1.29	4.084932187499942	9402	14.0	4.0	0.0	3225.0	9430098
OTU-56	3300028580_7	MAG	GEM	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__UBA1304;s__	3300028580.a:Ga0268357_100001_140	Bacteroidota	98.88	1.12	1.381097022094141	3723	12.0	5.0	7.0	1043.0	4792258
OTU-18041	GCF_002929335.1	isolate	NCBI-RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Leaf337;s__Leaf337 sp002929335	NZ_PJIL01000001.1_507	Actinobacteriota	99.71	0.58	3.865464394400484	4917	15.0	4.0	3.0	1652.0	5218843
OTU-18042	GCF_004100365.1	isolate	NCBI-RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Glutamicibacter;s__Glutamicibacter mysorens	NZ_SCKZ01000005.1_160	Actinobacteriota	99.68	0.38	3.5904136043784387	3252	18.0	4.0	4.0	1282.0	3508313
OTU-18043	CM_madagascar__A69_01_1FE__bin.3	MAG	Pasolli et al.	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__	NODE_64_length_82693_cov_111.612_4	Actinobacteriota	99.1936	0.0	2.3998300751879706	1709	14.0	4.0	6.0	669.0	1953493
OTU-71	XieH_2016__YSZC12003_35740__bin.47	MAG	Pasolli et al.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__	.	Firmicutes_A	91.0515	0.0	1.94665765765766	1742	15.0	5.0	6.0	673.0	2147587
OTU-18045	GCF_002000025.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia aestuarii	NZ_MUZV01000001.1_527	Proteobacteria	99.66	1.5	1.2608913805185709	3751	12.0	5.0	7.0	1431.0	4288731
OTU-28848	GCA_003141795.1	MAG	NCBI-MAG	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__Fen-1364;s__Fen-1364 sp003141795	.	Spirochaetota	89.74	3.07	3.7897057710501643	5202	12.0	4.0	3.0	1077.0	5200069
OTU-18046	2795385475	isolate	IMG	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__;s__	Ga0310481_103_45	Proteobacteria	100.0	0.0	3.9297883959044553	2901	13.0	5.0	0.0	1175.0	3358756
OTU-18047	2700988701	isolate	IMG	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium contaminans	Ga0131170_101_447	Bacteroidota	100.0	0.98	1.5797933491686496	4224	13.0	4.0	8.0	1695.0	4687840
OTU-18048	GCA_002172195.2	MAG	NCBI-MAG	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__Luminiphilus sp002691565	.	Proteobacteria	76.71	1.12	2.922065656565656	1594	11.0	4.0	5.0	202.0	1657217
