end_id	source_id	sample_id	assay	evidence_class	author_endpoint_id	published_reference_accession	reference_assembly	reference_name	replicon_label	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	signal_or_score	author_category	associated_gene_or_locus	pmid	doi	source_table_or_file	coordinate_interpretation	original_row_reference	qc_status	note
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000001	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_3	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	3059	3058	3059	+	1000	TERMITe intrinsic terminator	CAC98217	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_3)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-12.600000381469728; upstream_gene=gene:CAC98217 - 45bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000002	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_6	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	10650	10649	10650	+	1000	TERMITe intrinsic terminator	CAC98222	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_6)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=-, transtermhp_confidence=76.0, IDR=0.0, rnafold_energy=NA; upstream_gene=gene:CAC98222 - 55bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000003	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_7	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	12817	12816	12817	+	500	TERMITe intrinsic terminator	CAC98224	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_7)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=83.0, IDR=0.076, rnafold_energy=-18.200000762939453; upstream_gene=gene:CAC98224 - 37bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000004	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_9	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	15917	15916	15917	+	1000	TERMITe intrinsic terminator	CAC98227	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_9)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-10.800000190734863; upstream_gene=gene:CAC98227 - 41bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000005	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_10	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	20310	20309	20310	+	1000	TERMITe intrinsic terminator	CAC98231	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_10)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-19.100000381469727; upstream_gene=gene:CAC98231 - 52bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000006	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_11	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	32114	32113	32114	+	0	TERMITe intrinsic terminator	CAC98243	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_11)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=1.0, rnafold_energy=-11.600000381469728; upstream_gene=gene:CAC98243 - 150bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_minus_000007	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_reverse_1	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	32537	32536	32537	-	0	TERMITe intrinsic terminator	CAC98245	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_reverse_1)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.987, rnafold_energy=-6.300000190734863; upstream_gene=gene:CAC98245 - 34bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000008	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_12	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	32572	32571	32572	+	1000	TERMITe intrinsic terminator	CAC98244	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_12)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-10.800000190734863; upstream_gene=gene:CAC98244 - 35bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000009	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_13	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	48012	48011	48012	+	1000	TERMITe intrinsic terminator	CAC98257	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_13)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-9.0; upstream_gene=gene:CAC98257 - 15bp
BTED_EXT_2026_110_ERR1248436-460_NC_003210.1_plus_000010	BTED_EXT_2026_110	ERR1248436-460	Term-seq	NA	WT_3prime_signal_forward_30	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1	chromosome	50796	50795	50796	+	1000	TERMITe intrinsic terminator	CAC98261	27120414	10.1126/science.aad9822	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes)	TERMITe parsed.csv summit_coordinate 为参考基因组 1-based 单碱基坐标 (经验证 summit==POT, BED offset=-1); biological_coordinate_1based=summit; bed_start_0based=summit-1; bed_end_0based=summit (单碱基 BED)	TERMITe data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, termite_id=WT_3prime_signal_forward_30)	pass	端点坐标验证状态: 坐标体系依据同一TERMITe流水线代码推定成立，未对本数据集单独做U-tract序列比对或T-run富集验证; author_category=TERMITe intrinsic terminator; transtermhp=+, rnafold=+, transtermhp_confidence=100.0, IDR=0.0, rnafold_energy=-13.100000381469728; upstream_gene=gene:CAC98261 - 41bp
