release_version	assembly_accession	contig_accession	length_bp	max_endpoint_position_1based	supporting_source_ids	fasta_asset_basename	fasta_sha256	fai_asset_basename	fai_sha256	bundle_sha256sums_sha256	generator_version	generated_at_utc
v0.2.0	GCF_000005845.1	NC_000913.2	4639675	4637563	BATTER_S1_001	BATTER_S1_001__NC_000913.2.fna	2a8e2f78bc145fa82fa325acf7d34dc944612795cee74f793045dc64d782176c	BATTER_S1_001__NC_000913.2.fna.fai	53ebdac3002ed0fa623528794d6673986433d8e14f5174abbf05012df6003461	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000006765.1	NC_002516.2	6264404	6264154	BATTER_S1_008	BATTER_S1_008__thomason2019_pao1.reference.fna	a91b487d476a6ce69554b7646b6390bd5d49254593a7b71d3b2dcf1f38889fa3	BATTER_S1_008__thomason2019_pao1.reference.fna.fai	e57c0ee7bb140ffd6c6559bc380984ec0b52227646553cc9aa93fd26081691f2	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000006885.1	NC_003028.3	2160842	2160838	BATTER_S1_006	BATTER_S1_006__warrier2018_spne.reference.fna	c82b4a4c1b70cfcf60810db9fd08629db8f1f4118cffa342868c4ff95aadf16f	BATTER_S1_006__warrier2018_spne.reference.fna.fai	3c52bccc36450dd5d464868b0ae124fc1e3b346ed35ce1134fcc9a5cafc010c2	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000948.1	30750	24736	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000949.1	30223	28051	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000950.1	30299	24335	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000951.1	29838	21514	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000952.1	30800	28866	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000953.1	30885	23238	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
v0.2.0	GCF_000008685.2	NC_000954.1	30651	27889	BATTER_S1_021	BATTER_S1_021__adams2023_b31.reference.fna	6aab455e57798864f90a76a18bc725dac5d04d496f5b0d5a9cea7e77228fd5c6	BATTER_S1_021__adams2023_b31.reference.fna.fai	afae1f856fe20e4a3fe4f35b37bd885e8e09c3a769d552021b5b2ba2fc49e3ba	2290a2a0c1a7b4f480a53d59ce38ef3d666fd1c569807b1b79fa95a0e515be38	bted-reference-contig-registry-0.1.0	2026-08-21T14:33:22Z
